PMID,YearArticleDate,MonthArticleDate,ISSN,Title,ArticleTitle,ELocationID,AbstractText,Language,MedlineTA,NlmUniqueID,ISSNLinking,PublicationStatus,ArticleId,DOI,Volume,Issue,ISOAbbreviation
33225924,2020,11,1471-2407,BMC cancer,Modification of the 8th American Joint Committee on Cancer staging system for gallbladder carcinoma to improve prognostic precision.,10.1186/s12885-020-07578-7,"Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":The 8th edition of the American Joint Committee on Cancer (AJCC) staging system for gallbladder carcinoma (GBC) came into force since 2018. However, the prognostic precision of this staging system has not been properly assessed. This study aimed to evaluate the latest staging system and suggest modifications to improve its prognostic precision.                 Label=""METHODS"" NlmCategory=""METHODS"":Data of patients with GBC was included from the Surveillance, Epidemiology and End Results (SEER) database (2004-2015) and multicenter database (2010-2017). Baseline clinicopathologic characteristics were recorded including age, sex, race, grade, T category, N category, M category and stage. The Kaplan-Meier method was used to plot survival functions. The prediction power of the AJCC 8th edition and its modified version were evaluated using the concordance index (C-index).                 Label=""RESULTS"" NlmCategory=""RESULTS"":A total of 2779 GBC patients were included in the SEER database and 591 were collected from multicenter database. While no significant difference in survival of patients was observed between stages IVA and IVB using the 8th AJCC staging system (p &gt; 0.05), the prognosis of stage IIIA showed a slightly better outcome than stage IIIB (p = 0.046) in the SEER database. In the multicenter database, there was no significant difference between stage IIIA and stage IIIB (p &gt; 0.05). Similarly, no significant difference in the survival of patients between stages IIIA and IIIB was observed when M0 patients with at least 6 lymph nodes (LNs) were analyzed (p &gt; 0.05) for both SEER and multicenter database. On the other hand, a modified staging system was able to stratify patients from stage IIIA, stage IIIB and stage IV (p &lt; 0.001). For the SEER database, the C-indexes of 8th AJCC staging system and that of its modified version were 0.709 and 0.742, respectively. For the multicenter database, the C-index of 8th AJCC staging system and that of our modified version were 0.635 and 0.679, respectively.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":The modified 8th staging system proposed in this study can improve the prognostic precision of the 8th AJCC staging system for GBC. We therefore suggest including these modifications in the next update of AJCC staging system for GBC.",eng,BMC Cancer,100967800,1471-2407,epublish,33225924,10.1186/s12885-020-07578-7,20,1,BMC Cancer
33201123,2020,11,1528-1140,Annals of surgery,"Pancreatobiliary Maljunction-Associated Gallbladder Cancer is as Common in the West, Shows Distinct Clinicopathologic Characteristics and Offers an Invaluable Model for Anatomy-Induced Reflux-Associated Physio-Chemical Carcinogenesis.",10.1097/SLA.0000000000004482,"Label=""OBJECTIVE"" NlmCategory=""OBJECTIVE"":To determine the associations of pancreatobiliary maljunction (PBM) in the West.                 Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":PBM (anomalous union of common bile duct and pancreatic duct) is mostly regarded as an Asian-only disorder, with 200X risk of gallbladder cancer (GBC), attributed to reflux of pancreatic enzymes.                 Label=""METHODS"" NlmCategory=""METHODS"":Radiologic images of 840 patients in the U.S. who underwent pancreatobiliary resections were reviewed for PBM and contrasted with 171 GBC cases from Japan.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Eight % of the US GBCs (24/300) had PBM (similar to Japan; 15/171, 8.8%), in addition to 1/42 bile duct carcinomas and 5/33 choledochal cysts. None of the 30 PBM cases from the US had been diagnosed as PBM in the original work-up. PBM was not found in other pancreatobiliary disorders. Clinicopathologic features of the 39 PBM-associated GBCs (US:24, Japan:15) were similar; however, comparison with non-PBM GBCs revealed that they occurred predominantly in females (F/M = 3); at younger (&lt;50-year-old) age (21% vs. 6.5% in non-PBM GBCs; p = 0.01); were uncommonly associated with gallstones (14% vs. 58%; p &lt; 0.001); had higher rate of tumor-infiltrating lymphocytes (69% vs. 44%; p = 0.04); arose more often through adenoma-carcinoma sequence (31% vs. 12%; p = 0.02); and had a higher proportion of non-conventional carcinomas (21% vs. 7%; p = 0.03).                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":PBM accounts for 8% of GBCs also in the West but is typically undiagnosed. PBM-GBCs tend to manifest in younger age and often through adenoma-carcinoma sequence, leading to unusual carcinoma types. If PBM is encountered, cholecystectomy and surveillance of bile ducts is warranted. PBM-associated GBCs offer an invaluable model for variant anatomy-induced chemical (reflux-related) carcinogenesis.",eng,Ann Surg,0372354,0003-4932,aheadofprint,33201123,10.1097/SLA.0000000000004482,NA,NA,Ann Surg
33198671,2020,11,1471-2407,BMC cancer,Phase 2 study of lenvatinib monotherapy as second-line treatment in unresectable biliary tract cancer: primary analysis results.,10.1186/s12885-020-07365-4,"Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":Biliary tract cancer (BTC) has a poor prognosis and lacks a standardized second-line therapy. Vascular endothelial growth factor (VEGF), fibroblast growth factor receptor (FGFR) 4, and platelet-derived growth factor receptor (PDGFR) are highly expressed in BTC. Therefore, lenvatinib (a known inhibitor of VEGF receptors 1-3, FGFRs 1-4, and PDGFR-α) was evaluated for second-line treatment of BTC.                 Label=""METHODS"" NlmCategory=""METHODS"":In this single-arm, multicenter, open-label, phase 2 study, patients with BTC received lenvatinib 24 mg orally once daily in 28-day cycles. The primary endpoint was objective response rate (ORR). Secondary endpoints included overall survival (OS), progression-free survival (PFS), PFS rate at 12 weeks, disease control rate, clinical benefit rate, safety and pharmacokinetic profiles.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Twenty-six Japanese patients were enrolled and treated; 3 had a confirmed partial response per investigator assessment and per independent imaging review (IIR); ORR was 11.5% (90% confidence interval [CI]: 3.2-27.2). Median PFS was 3.19 months (95% CI: 2.79-7.23) per investigator assessment and 1.64 months (95% CI: 1.41-3.19) per IIR. Median OS was 7.35 months (95% CI: 4.50-11.27). Grade ≥ 3 treatment-emergent adverse events (TEAEs) occurred in 21 patients (80.8%) and included hypertension (n = 10 [38.5%]), proteinuria (n = 3 [11.5%]), palmar-plantar erythrodysesthesia (n = 3 [11.5%]), decreased appetite (n = 3 [11.5%]), and anemia (n = 3 [11.5%]). Two deaths occurred due to TEAEs between treatment initiation and 30 days after last dose, but neither were considered treatment related.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":Lenvatinib demonstrated antitumor activity in BTC, with a tolerable safety profile, and should be further evaluated as potential second-line therapy for this difficult to treat population.                 Label=""TRIAL REGISTRATION"" NlmCategory=""BACKGROUND"":ClinicalTrials.gov NCT02579616 . Date of registration: October 19, 2015.",eng,BMC Cancer,100967800,1471-2407,epublish,33198671,10.1186/s12885-020-07365-4,20,1,BMC Cancer
33196488,2020,11,1528-1140,Annals of surgery,Artificial Intelligence for Intraoperative Guidance: Using Semantic Segmentation to Identify Surgical Anatomy During Laparoscopic Cholecystectomy.,10.1097/SLA.0000000000004594,"Label=""OBJECTIVE"" NlmCategory=""OBJECTIVE"":To develop and evaluate the performance of artificial intelligence (AI) models that can identify safe and dangerous zones of dissection, and anatomical landmarks during laparoscopic cholecystectomy (LC).                 Label=""SUMMARY BACKGROUND DATA"" NlmCategory=""BACKGROUND"":Many adverse events during surgery occur due to errors in visual perception and judgment leading to misinterpretation of anatomy. Deep learning, a subfield of AI, can potentially be used to provide real-time guidance intraoperatively.                 Label=""METHODS"" NlmCategory=""METHODS"":Deep learning models were developed and trained to identify safe (Go) and dangerous (No-Go) zones of dissection, liver, gallbladder, and hepatocystic triangle during LC. Annotations were performed by four high-volume surgeons. AI predictions were evaluated using 10-fold cross-validation against annotations by expert surgeons. Primary outcomes were intersection-over-union (IOU) and F1 score (validated spatial correlation indices), and secondary outcomes were pixel-wise accuracy, sensitivity, specificity, ± standard deviation.                 Label=""RESULTS"" NlmCategory=""RESULTS"":AI models were trained on 2627 random frames from 290 LC videos, procured from 37 countries, 136 institutions and 153 surgeons. Mean IOU, F1 score, accuracy, sensitivity, and specificity for the AI to identify Go zones were 0.53 (±0.24), 0.70 (±0.28), 0.94 (±0.05), 0.69 (±0.20) and 0.94 (±0.03) respectively. For No-Go zones, these metrics were 0.71 (±0.29), 0.83 (±0.31), 0.95 (±0.06), 0.80 (±0.21) and 0.98 (±0.05), respectively. Mean IOU for identification of the liver, gallbladder and hepatocystic triangle were: 0.86 (±0.12), 0.72 (±0.19) and 0.65 (±0.22), respectively.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":AI can be used to identify anatomy within the surgical field. This technology may eventually be used to provide real-time guidance and minimize the risk of adverse events.",eng,Ann Surg,0372354,0003-4932,aheadofprint,33196488,10.1097/SLA.0000000000004594,NA,NA,Ann Surg
33154307,NA,NA,0974-5130,Indian journal of pathology &amp; microbiology,Gallbladder stone formation in Iraqi patients is associated with bacterial infection and HLA class II-DRB1 antigens.,10.4103/IJPM.IJPM_841_19,"Label=""Background"" NlmCategory=""UNASSIGNED"":Gallbladder stone is recently increased among the Iraqi society due to many risk factors such as bacterial infection and some HLA class II antigens.                 Label=""Aim(s)"" NlmCategory=""UNASSIGNED"":This study investigates the types of bacterial infection and HLA-DRB1 antigens' ratio that may be correlated with gallbladder stone formation. Setting and Design: The study included 45 patients and the same number of healthy individuals as a control group. Patients were with multiple gallstones. Gallstone bacterial culture was demonstrated to diagnose viable bacteria. HLA-DRB1 alleles' frequency was investigated using sequence-specific oligonucleotide probes (PCR-SSOP).                 Label=""Results"" NlmCategory=""UNASSIGNED"":Irrespective of gallstone type and size, different types of living viable bacteria were isolated from the cores of the studied gallstones in 80% of the studied cases versus 20% of sterile gallstones. Gram-negative bacteria cultures were the dominant (89.3%), including Escherichia coli, Klebsiella spp., Proteus spp., Acinetobacter spp., and Enterobacter spp. Mixed infection of Gram-positive and negative bacteria was noted: Escherichia coli and Enterococus spp. and the others of Escherichia coli and Acitobacter spp., and Klebsiella spp. and Pseudomonas spp. Gram-positive bacteria cultures were also detected at lower rate (10.7%) including Staphylococci spp. The frequency of HLA-DRB1*03:01, HLA-DRB1*4:03, HLA-DRB1*13:22, and HLA-DRB1*15:10 alleles was significantly elevated in patients compared to the healthy control group.                 Label=""Conclusion"" NlmCategory=""UNASSIGNED"":Results ensured the viability of the bacteria isolated from the core of gallstones and showed positive correlation between gallbladder stone and different bacterial infection. In addition, HLA-DRB1 alleles were significantly high in patients compared to healthy control group suggesting them as risk factors (P &lt; 0.05).",eng,Indian J Pathol Microbiol,7605904,0377-4929,ppublish,33154307,10.4103/IJPM.IJPM_841_19,63,4,Indian J Pathol Microbiol
33148667,2020,11,1078-0432,Clinical cancer research : an official journal of the American Association for Cancer Research,PIPAC-OX: A Phase I study of Oxaliplatin-based Pressurized Intraperitoneal Aerosol Chemotherapy (PIPAC) in Patients with Peritoneal Metastases.,10.1158/1078-0432.CCR-20-2152,"Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":Pressurized Intraperitoneal Aerosol Chemotherapy (PIPAC) is a novel, laparoscopic intraperitoneal chemotherapy delivery technique aiming to improve drug distribution and tissue penetration to treat peritoneal metastases. Thus far, PIPAC oxaliplatin is conducted at an arbitrary dose of 92mg/m2. We conducted a phase 1 study to establish safety and tolerability.                 Label=""EXPERIMENTAL DESIGN"" NlmCategory=""METHODS"":We used a 3+3 dose escalation design of PIPAC oxaliplatin for patients with peritoneal metastases from gastrointestinal tumors, after failure of at least first-line chemotherapy. Dose levels were planned at 45, 60, 90 and 120mg/m2.                 Label=""FINDINGS"" NlmCategory=""RESULTS"":This study included 16 patients with 24 PIPAC procedures (8 gastric, 5 colorectal and 1 gallbladder, pancreas and appendix cancer each). Median age and Peritoneal Cancer Index (PCI) score were 62 years and 17, respectively. Two patients developed pancreatitis (grade 2 and 3) at 45mg/m2, necessitating cohort expansion. Another patient developed grade 2 pancreatitis at 90mg/m2. There were no other dose limiting toxicities and the highest dose cohort (120 mg/m2) tolerated PIPAC well. Pharmacokinetic analyses demonstrated good linearity between dose and maximum concentration (r2=0.95) and area under the curve (AUC) (r2=0.99). Based on response evaluation criteria in solid tumors, 62.5% and 50% had stable disease after one and two PIPAC procedures, respectively. 8 patients underwent 2 PIPAC procedures, with improvement of median PCI and Peritoneal Regression Grade Score from 15 to 12 and 2.5 to 2.0, respectively.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":The recommended phase 2 dose is 120 mg/m2. Future studies should further delineate the efficacy and role of PIPAC oxaliplatin for peritoneal metastases.",eng,Clin Cancer Res,9502500,1078-0432,aheadofprint,33148667,10.1158/1078-0432.CCR-20-2152,NA,NA,Clin Cancer Res
33135147,2020,11,1534-4681,Annals of surgical oncology,Correction to: Defining and Predicting Early Recurrence After Resection for Gallbladder Cancer.,10.1245/s10434-020-09315-7,"In the original version of this abstract, the visual abstract is missing. The original abstract has been updated.",eng,Ann Surg Oncol,9420840,1068-9265,aheadofprint,33135147,10.1245/s10434-020-09315-7,NA,NA,Ann Surg Oncol
33129276,2020,10,1471-230X,BMC gastroenterology,Changes in plasma bile acids are associated with gallbladder stones and polyps.,10.1186/s12876-020-01512-8,"Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":The development of gallbladder disease (GBD) is related to bile acid (BA) metabolism, and the rate of BA circulation increases the risk of biliary cancer. However, it is unclear whether patterns of circulating bile acids (BAs) change in patients with benign GBDs such as gallbladder stones and polyps. Herein, we compared and characterised plasma BA profiles in patients with cholecystolithiasis and non-neoplastic polyps with healthy controls, and explored relationships between plasma BA profiles, demographics, and laboratory test indices.                 Label=""METHODS"" NlmCategory=""METHODS"":A total of 330 subjects (13 healthy controls, 292 cholecystolithiasis and 25 non-neoplastic polyps) were recruited and plasma BA profiles including 14 metabolites from patients with pathologically confirmed cholecystolithiasis and non-neoplastic polyps were compared with controls. BAs were quantitated by liquid chromatography and mass spectrometry, and statistical and regression analyses of demographics and laboratory test indices were performed.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Females displayed a higher burden of GBD than males (63.36% cholecystolithiasis, 60% non-neoplastic polyps). Cholecystolithiasis and non-neoplastic polyps were associated with increased plasma total secondary BAs, while levels of primary BAs were lower than in healthy controls. Plasma ursodeoxycholic acid (UDCA), tauroursodeoxycholic acid (TUDCA), glycyurdeoxycholic acid (GUDCA), taurochenodeoxycholic acid (TCDCA) and glycochenodeoxycholic acid (GCDCA) were decreased significantly in GBDs, and ursodeoxycholic acid (UDCA) was negatively correlated with white blood cell count and neutrophil percentage.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":Secondary BA levels were higher in patients with cholecystolithiasis and non-neoplastic polyps. White blood cell count and percentage of neutrophil in peripheral blood were negatively correlated with UDCA, indicating an anti-inflammation effect of UDCA.",eng,BMC Gastroenterol,100968547,1471-230X,epublish,33129276,10.1186/s12876-020-01512-8,20,1,BMC Gastroenterol
33060404,NA,NA,1532-0979,The American journal of surgical pathology,Mural Intracholecystic Neoplasms Arising in Adenomyomatous Nodules of the Gallbladder: An Analysis of 19 Examples of a Clinicopathologically Distinct Entity.,10.1097/PAS.0000000000001603,"Intracholecystic neoplasms (ICNs) (pyloric gland adenomas and intracholecystic papillary neoplasms, collectively also called intracholecystic papillary/tubular neoplasms) form multifocal, extensive proliferations on the gallbladder mucosa and have a high propensity for invasion (&gt;50%). In this study, 19 examples of a poorly characterized phenomenon, mural papillary mucinous lesions that arise in adenomyomatous nodules and form localized ICNs, were analyzed. Two of these were identified in 1750 consecutive cholecystectomies reviewed specifically for this purpose, placing its incidence at 0.1%. Median age was 68 years. Unlike other gallbladder lesions, these were slightly more common in men (female/male=0.8), and 55% had documented cholelithiasis. All were characterized by a compact multilocular, demarcated, cystic lesion with papillary proliferations and mucinous epithelial lining. The lesions' architecture, distribution, location, and typical size were suggestive of evolution from an underlying adenomyomatous nodule. All had gastric/endocervical-like mucinous epithelium, but 5 also had a focal intestinal-like epithelium. Cytologic atypia was graded as 1 to 3 and defined as 1A: mucinous, without cytoarchitectural atypia (n=3), 1B: mild (n=7), 2: moderate (n=2), and 3: severe atypia (n=7, 3 of which also had invasive carcinoma, 16%). Background gallbladder mucosal involvement was absent in all but 2 cases, both of which had multifocal papillary mucosal nodules. In conclusion, these cases highlight a distinct clinicopathologic entity, that is, mural ICNs arising in adenomyomatous nodules, which, by essentially sparing the &quot;main&quot; mucosa, not displaying &quot;field-effect/defect&quot; phenomenon, and only rarely (16%) showing carcinomatous transformation, are analogous to pancreatic branch duct intraductal papillary mucinous neoplasms.",eng,Am J Surg Pathol,7707904,0147-5185,ppublish,33060404,10.1097/PAS.0000000000001603,44,12,Am J Surg Pathol
33042329,2020,9,1936-2625,International journal of clinical and experimental pathology,"Divergent expression of DCLK1 in gastrointestinal neuroendocrine tumors and primary hepatic, gallbladder, and pancreatic neuroendocrine tumors.",NA,"Doublecortin-like kinase 1 (DCLK1) is reported to be a negative prognostic marker in colorectal cancer and is involved in tumorigenesis and progression through several miRNA pathways. In this study, We analyzed its expression in neuroendocrine tumor (NET) and explored its relation with survival outcome. 122 patients were enrolled in the study, including 60 cases of GI-NETs, 24 cases of primary hepatic NETs (PHNETs), 16 cases of gallbladder NETs (GBNETs) and 22 cases of pancreatic NETs (pNETs). IHC was performed for DCLK1 on tumor tissue. All patients underwent a baseline visit, histologic determination, and a follow-up for survival. In the 60 cases of GI-NETs, DCLK1 showed diffuse cytoplasmic expression. The positive rates of DCLK1, Syn and CgA were 100% (60/60), 100% (60/60) and 36.7% (22/60), respectively. However, DCLK1 showed negative staining in all of the 62 cases of PHNETs, GBNETs, and pNETs. The mean score of DCLK1, Syn, and CgA were (5.77±2.012), (5.13±2.078) and (2.68±2.797), respectively. DCLK1 was correlated with primary site (P&lt;0.001) and Syn expression (P = 0.045). Additionally, in GI-NETs, we found that DCLK1 expression was associated with worse OS (log-rank = 5.212, P = 0.022). The divergent expression of DCLK1 in NETs suggests different functional roles of DCLK1 in different locations of NET within the digestive system. However, with the limited number of tumor samples, its outcome prediciton still needs further investigation. DCLK1 expression may aid in the diagnosis and prognosis of GI-NETs.",eng,Int J Clin Exp Pathol,101480565,1936-2625,epublish,33042329,NA,13,9,Int J Clin Exp Pathol
